CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,AREA,CLAVE_MAJOR_PGMA_ACAD,DESC_CIUDAD_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_ESTADO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,V_SOL_BSE,BECA_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,BECA_BHP,V_POSSTEAM,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,prcBeca_f,TIPO_BECA_F,V_BECABTE,V_ANY_BECA,PRC_BECA_F
Toluca,TOL,Mexicana,F,PBB,PBB,Atlacomulco de Fabela,Atlacomulco,Estado de México,México,90.5,1093,No Tec,2024-01-17T00:00:00.000Z,Perfil A,1,1,Toluca,15.0,Solicitud,12.0,83.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,F,PBB,PBB,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,México,83.0,950,No Tec,2024-03-04T00:00:00.000Z,Perfil A,0,0,Santa Fe,15.0,Solicitud,43.0,82.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,TOL,Mexicana,F,PBB,PBB,Toluca de Lerdo,Toluca,Estado de México,México,99.5,883,No Tec,2024-01-17T00:00:00.000Z,Perfil B,0,0,Toluca,14.0,Solicitud,22.0,80.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,MET,Mexicana,M,PBB,PBB,Metepec,Metepec,Estado de México,México,87.0,989,No Tec,2024-01-24T00:00:00.000Z,Perfil A,1,1,Toluca,14.0,Solicitud,22.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,PBB,PBB,Benito Juárez,Indefinido,Ciudad de México,México,81.0,1208,No Tec,2024-02-20T00:00:00.000Z,Perfil A,1,1,,14.0,Solicitud,33.0,87.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,PTM,PTM,San Francisco,Corregidora,Querétaro,México,90.0,1193,No Tec,2024-01-31T00:00:00.000Z,Perfil A+,1,1,Querétaro,15.0,Solicitud,41.0,86.0,11.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,PTM,PTM,Villahermosa,Centro,Tabasco,México,97.0,1262,No Tec,2024-02-06T00:00:00.000Z,Perfil A+,1,1,Puebla,16.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
San Luis Potosí,SLP,Mexicana,F,PBB,PBB,San Luis Potosí,San Luis Potosí,San Luis Potosí,México,95.5,1092,No Tec,2024-02-21T00:00:00.000Z,Perfil A,0,0,San Luis Potosí,14.0,Solicitud,24.0,96.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,PBB,PBB,Ciudad Nezahualcóyotl,Nezahualcóyotl,Estado de México,México,93.5,1072,No Tec,2024-02-15T00:00:00.000Z,Perfil A,1,1,Ciudad de México,14.0,Marketing digital,39.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,PTM,PTM,Coyoacán,Indefinido,Ciudad de México,México,96.5,1247,No Tec,2024-02-06T00:00:00.000Z,Perfil A+,1,1,Ciudad de México,14.0,Solicitud,45.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
