CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_CIUDAD_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,TIPO_BECA_F,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,V_PAA_MISSING
Monterrey,MTY,Mexicana,F,O5,SLD,MO,H00169,ITESM Campus Cuernavaca,Cuernavaca,Cuernavaca,Morelos,90.73,1181.0,2024-02-23T00:00:00.000Z,0,0,Cuernavaca,18.0,Marketing digital,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0
Estado de México,CEM,Mexicana,F,P5,ESC,ESC,H00168,ITESM Campus Estado de México,Atizapán de Zaragoza,Atizapán de Zaragoza,Estado de México,94.53,1353.0,2023-09-27T00:00:00.000Z,1,1,Estado de México,18.0,Base de datos,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Puebla,PUE,Mexicana,F,P5,ESC,ESC,H15903,ITESM Campus Puebla,Heroica Puebla de Zaragoza,Puebla,Puebla,87.7,,2023-10-02T00:00:00.000Z,1,1,Puebla,18.0,Solicitud,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Ciudad de México,CCM,Mexicana,F,P5,SLD,LNB,H00165,ITESM Campus Ciudad de México,Tlalpan,Indefinido,Ciudad de México,93.77,1232.0,2023-11-09T00:00:00.000Z,1,1,Ciudad de México,17.0,Base de datos,40.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Querétaro,QRO,Mexicana,M,P5,SLD,MC,H00158,ITESM Campus Querétaro,Santiago de Querétaro,Querétaro,Querétaro,92.2,1451.0,2023-12-13T00:00:00.000Z,1,1,Querétaro,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Estado de México,CEM,Mexicana,F,P5,IBQ,IBQ,H00168,ITESM Campus Estado de México,Atizapán de Zaragoza,Atizapán de Zaragoza,Estado de México,98.36,1317.0,2023-09-27T00:00:00.000Z,0,0,Estado de México,18.0,Base de datos,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Saltillo,SAL,Mexicana,M,P5,IBQ,IBQ,H00150,ITESM Campus Saltillo,Saltillo,Saltillo,Coahuila,89.83,,2023-12-12T00:00:00.000Z,1,1,Saltillo,17.0,Solicitud,43.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,Atletico,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Talento Estudiantil,1.0,1.0,0.7,0.0,1
Ciudad de México,CCM,Mexicana,F,P5,IIT,IM,H00165,ITESM Campus Ciudad de México,Tlalpan,Indefinido,Ciudad de México,92.7,1448.0,2023-11-09T00:00:00.000Z,1,1,Ciudad de México,17.0,Base de datos,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Estado de México,CEM,Mexicana,F,P5,NEG,NEG,H00168,ITESM Campus Estado de México,Atizapán de Zaragoza,Atizapán de Zaragoza,Estado de México,87.66,,2023-11-07T00:00:00.000Z,1,1,Estado de México,17.0,Solicitud,25.0,0.0,1.0,0.15,0.15,0.0,1.0,0.0,0.0,Atletico,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Tradicional,0.0,1.0,0.15,0.15,1
Estado de México,CEM,Mexicana,F,P5,NEG,NEG,H00168,ITESM Campus Estado de México,Atizapán de Zaragoza,Atizapán de Zaragoza,Estado de México,96.5,1433.0,2023-10-09T00:00:00.000Z,1,1,Estado de México,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
