CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,RUBRICA,ENSAYO,CV,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_POSBTT,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F
Puebla,PUE,Mexicana,F,N5,ESC,LAD,H67160,COLE DE BACHILLERES PLANTEL 17,Jáltipan,México,94.0,1233,Perfil A,1,1,Puebla,17.0,Solicitud,91.0,21.0,10.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.25,0.25
Tampico,TAM,Mexicana,F,N5,IIT,IMD,H67018,UNIVERSIDAD ANAHUAC,Altamira,México,99.06,1493,Perfil A+,1,1,Tampico,17.0,Marketing digital,100.0,15.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,AMC,AMC,H49559,Inst Irlandés de Nuevo Laredo,Nuevo Laredo,México,95.0,1189,Perfil A,0,0,,17.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estado de México,CEM,Mexicana,M,N5,ICI,INA,H01709,"Ing. Armando I. Santacruz, AC",Indefinido,México,100.0,1473,Perfil A+,1,1,Ciudad de México,17.0,Solicitud,95.0,10.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
San Luis Potosí,SLP,Mexicana,M,N5,IIT,IIS,H13816,COBACH Plantel 01 Soledad,Soledad de Graciano Sánchez,México,91.0,1248,Perfil A,1,1,San Luis Potosí,20.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,Liderazgo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.0
Puebla,PUE,Mexicana,F,N5,CIS,LRI,H77965,Escuela Modelo,Mérida,México,89.57,1272,Perfil A,0,0,,17.0,Solicitud,106.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laguna,LAG,Mexicana,M,N5,IIT,IIT,H00291,Preparatoria Federal por Cooperación LUZAC,Torreón,México,75.0,1333,Perfil B,0,0,Laguna,17.0,Solicitud,80.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,Atletico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Puebla,PUE,Mexicana,M,N5,ESC,LDI,H41205,Colegio Americano de Xalapa,Emiliano Zapata,México,99.0,1400,Perfil A+,1,1,Puebla,17.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Liderazgo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
León,LEO,Mexicana,F,N5,ESC,ARQ,H19579,UAEM Liceo V. de Tol Prepa 127,Metepec,México,82.25,1207,Perfil A,1,1,Toluca,17.0,Contacto directo,88.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,ICI,IFI,H00103,Preparatoria No. 15 (U.A.N.L.),Monterrey,México,93.1,1382,Perfil A+,1,1,Monterrey,16.0,Solicitud,95.0,25.0,10.0,0.0,1.0,0.55,0.25,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.55,0.25
