SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
HER,Mexicana,M,P5,ITC,H00174,Sonora,90.76,1359,2023-10-16T00:00:00.000Z,1,Sonora Norte,17.0,Base de datos,34.0,0.0,0.25,1.0,0.5,Liderazgo,0.0,1.0,Talento Estudiantil,1.0,0.5,0.25,2.0,2.0
CSF,Mexicana,F,P5,INA,H13819,Ciudad de México,92.8,1260,2023-10-06T00:00:00.000Z,1,Santa Fe,18.0,Solicitud,39.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,P5,IMD,H00165,Ciudad de México,87.22,0,2023-12-14T00:00:00.000Z,1,Ciudad de México,17.0,Solicitud,50.0,0.2,0.2,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.2,0.2,2.0,0.0
PUE,Mexicana,M,P5,BME,H15903,Puebla,88.46,0,2023-12-22T00:00:00.000Z,1,Puebla,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,P5,LED,H00177,Jalisco,90.41,1320,2023-09-14T00:00:00.000Z,1,Guadalajara,17.0,Base de datos,48.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,P5,BIE,H00177,Jalisco,97.9,975,2023-09-18T00:00:00.000Z,1,Guadalajara,17.0,Base de datos,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,O5,ESC,H00170,Chiapas,91.03,0,2024-01-12T00:00:00.000Z,1,Chiapas,17.0,Base de datos,31.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,M,P5,LAF,H00168,Estado de México,96.76,1355,2023-09-27T00:00:00.000Z,1,Estado de México,18.0,Base de datos,40.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,O5,IC,H14074,Michoacán,96.2,1367,2023-10-27T00:00:00.000Z,1,Morelia,17.0,Base de datos,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,O5,LEM,H00168,Estado de México,93.2,0,2024-02-22T00:00:00.000Z,1,Estado de México,17.0,Base de datos,14.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
AGS,Mexicana,F,P5,NEG,H04128,Aguascalientes,93.32,1310,2023-10-11T00:00:00.000Z,1,Aguascalientes,17.0,Base de datos,48.0,0.0,0.0,1.0,0.0,Artistico,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
LAG,Mexicana,M,P5,LAF,H00166,Coahuila,85.68,0,2024-02-01T00:00:00.000Z,1,Laguna,17.0,Base de datos,42.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,O5,BME,H19021,Nuevo León,90.7,0,2023-10-12T00:00:00.000Z,1,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,O5,IIT,H19021,Nuevo León,85.28,0,2023-10-19T00:00:00.000Z,1,Monterrey,17.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
