SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
MTY,Mexicana,M,N5,BGB,H66269,Nuevo León,94.66,1387,No Tec,2024-02-08T00:00:00.000Z,Perfil A+,0,Monterrey,16.0,Solicitud,45.0,91.0,21.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
TOL,Mexicana,M,N5,ARQ,H18526,Puebla,98.39,1269,No Tec,2024-01-17T00:00:00.000Z,Perfil A,0,Puebla,17.0,Solicitud,40.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,F,N5,LIN,H00740,Sonora,99.17,1302,No Tec,2024-01-29T00:00:00.000Z,Perfil A,1,Sonora Norte,18.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
LEO,Mexicana,M,N5,ITC,H09522,Guanajuato,95.0,1245,No Tec,2024-02-01T00:00:00.000Z,Perfil A,0,Querétaro,18.0,Solicitud,25.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,N5,IBT,H00366,Ciudad de México,94.5,1260,No Tec,2024-01-29T00:00:00.000Z,Perfil A,0,Estado de México,17.0,Marketing digital,50.0,89.0,19.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,N5,ITC,H68383,Ciudad de México,84.0,1211,No Tec,2024-01-09T00:00:00.000Z,Perfil A,1,,17.0,Contacto directo,50.0,92.0,17.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
TAM,Mexicana,F,N5,ICT,H00088,Tamaulipas,87.0,1136,No Tec,2024-03-04T00:00:00.000Z,Perfil B,0,Tampico,17.0,Solicitud,44.0,58.0,13.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IFI,H13239,Nuevo León,97.5,1510,No Tec,2024-01-26T00:00:00.000Z,Perfil A+,1,Monterrey,18.0,Solicitud,,106.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Estadounidense,F,N5,NEG,H82223,,91.63,1280,No Tec,2024-01-18T00:00:00.000Z,Perfil A,1,Extranjero NO LATAM,18.0,Solicitud,50.0,83.0,13.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
TOL,Mexicana,M,N5,IBQ,H18666,Estado de México,95.3,1360,No Tec,2023-12-12T00:00:00.000Z,Perfil A+,1,Toluca,17.0,Contacto directo,,100.0,25.0,15.0,0.2,0.2,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.0,0.2,2.0,0.0
CEM,Mexicana,M,N5,ICT,H03229,Ciudad de México,98.08,1195,No Tec,2024-01-31T00:00:00.000Z,Perfil A,0,Estado de México,17.0,Solicitud,42.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,M,N5,NEG,H62360,Sonora,96.0,1161,No Tec,2023-12-12T00:00:00.000Z,Perfil B,1,Sonora Norte,17.0,Solicitud,44.0,51.0,11.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,N5,LED,H47427,Jalisco,98.94,1267,No Tec,2024-02-12T00:00:00.000Z,Perfil B,0,,17.0,Solicitud,9.0,70.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,N5,IMT,H66302,Jalisco,98.16,1262,No Tec,2024-02-14T00:00:00.000Z,Perfil A,1,Guadalajara,17.0,Marketing digital,35.0,87.0,17.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ICT,H75503,Hidalgo,90.8,1266,No Tec,2024-02-01T00:00:00.000Z,Perfil A,0,,17.0,Solicitud,38.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,N5,BA,H81823,,87.63,1470,No Tec,2024-02-09T00:00:00.000Z,Perfil A,1,Sin info,18.0,Solicitud,,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CDJ,Mexicana,F,N5,LIN,H84244,Chihuahua,98.5,1149,No Tec,2024-01-31T00:00:00.000Z,Perfil B,1,,18.0,Solicitud,22.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,ARQ,H00825,Querétaro,95.52,1440,No Tec,2024-01-02T00:00:00.000Z,Perfil A+,1,Querétaro,18.0,Solicitud,,90.0,15.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IC,H04463,Hidalgo,97.14,1400,No Tec,2024-02-12T00:00:00.000Z,Perfil A+,1,Hidalgo,17.0,Solicitud,50.0,92.0,17.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,F,N5,LAD,H02538,Tamaulipas,90.0,1175,No Tec,2024-02-07T00:00:00.000Z,Perfil A,0,Tampico,18.0,Solicitud,42.0,106.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Hondureña,M,N5,IIS,H66487,,96.31,1373,No Tec,2024-02-08T00:00:00.000Z,Perfil A+,1,Extranjero LATAM,16.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,F,N5,NEG,H00101,Puebla,95.0,1354,No Tec,2024-01-22T00:00:00.000Z,Perfil A,1,Puebla,18.0,Solicitud,50.0,95.0,25.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,N5,IIS,H01279,Ciudad de México,86.28,1337,No Tec,2024-01-30T00:00:00.000Z,Perfil A,1,Santa Fe,18.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Guatemalteca,F,N5,IBQ,H01932,Guatemala,95.53,1450,No Tec,2024-01-10T00:00:00.000Z,Perfil A+,1,Extranjero LATAM,17.0,Solicitud,,94.0,9.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,N5,ITC,H08489,Guerrero,95.0,1179,No Tec,2024-01-23T00:00:00.000Z,Perfil A,1,Cuernavaca,18.0,Solicitud,,79.0,9.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,ITC,H81624,,93.16,0,No Tec,2024-01-02T00:00:00.000Z,Perfil A,1,Extranjero NO LATAM,18.0,Solicitud,,93.0,23.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,N5,LAF,H65993,Jalisco,90.44,1221,No Tec,2024-02-12T00:00:00.000Z,Perfil A,0,Guadalajara,17.0,Solicitud,13.0,94.0,19.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,M,N5,LED,H15951,Puebla,96.0,1327,No Tec,2024-01-22T00:00:00.000Z,Perfil A,1,Puebla,17.0,Marketing digital,50.0,100.0,15.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
